"timeStamp","URL","blogName","title","tags","body"
"2022-11-01 20:54:07 GMT","https://www.tumblr.com/blog/view/deadly-junk/699752563315212288","deadly-junk","","['depressed', 'depression', 'original', 'zu laute gedanken', 'essstörung', 'essstoerung', 'esssgestört', 'hate', 'hate my self', 'essstörungs gedanken', 'zu dick', 'zu fett', 'ana', 'mia', 'pro ana', 'ana trigger', 'anorexik', 'bulimie', 'bulimist', 'bulimic', 'zugenommen', 'übelkeit', 'ekel', 'abnehmen']","<p class=""npf_chat"">Du hast gegessen, mal wieder war es Fast Food, weil du keine Disziplin hast.. Deine Gedanken kreisen ums erbrechen. Erneut stehst du im Badezimmer vor der Toilette. Tun oder nicht?</p><p class=""npf_chat"">Du versuchst dagegen anzuk&auml;mpfen, immer wieder. Aber die Angst ist st&auml;rker. Die Angst ums fetter werden. Die Angst h&auml;sslich zu sein. Die Angst nicht gut genug zu sein. </p><p class=""npf_chat"">Letzendlich tust du es, du brichst weinend vor der Toilette danach zusammen, diese schei&szlig; Bulimie&hellip;</p><blockquote class=""npf_indented""><p>- <b>Deadly-Junk</b></p></blockquote>"
"2022-10-29 21:03:09 GMT","https://worte-mitohne-sinn.tumblr.com/post/699481340569075712/ich-kann-das-nicht-essen-nicht-vergessen","worte-mitohne-sinn","","['essen', 'nicht essen', 'ed', 'es', 'essstörung', 'eating', 'ana', 'vergessen']","<h2>Ich kann das nicht essen nicht vergessen.</h2>"
"2022-10-29 14:58:18 GMT","https://www.tumblr.com/blog/view/kxputteseele/699458386593529856","kxputteseele","","['Essstörung', 'angst vor dem essen', 'angst', 'herz gegen kopf', 'gefühle', 'angst vor dem schmerz', 'angst vor nähe', 'selbsthass', 'angst vor der zukunft', 'hass', 'ich fühle mich so leer', 'allein gelassen', 'leb wohl', 'nur du', 'krieg im kopf', 'vertrauen gebrochen', 'gebrochenes herz', 'für immer allein', 'svv']","<h2>&bdquo;Was ist schlimmer als Fast Food?&ldquo; ... &bdquo;eine Essst&ouml;rung&ldquo;</h2><p>~itsrolislife</p>"
"2022-10-25 17:46:31 GMT","https://www.tumblr.com/blog/view/anahanni/699106582081994752","anahanni","","['ana', 'anagruppe', 'anachat', 'abnehmgruppe', 'essstörung', 'abnehmen', 'strict ana']","<p>Jemand Lust eine strenge Abnehmgruppe aufzubauen?</p><p>Bitte 18+ besser noch 20+</p>"
"2022-10-21 18:15:43 GMT","https://lebenisthart.tumblr.com/post/698746031269085184/suche-einen-pro-ana-twin-oder-eine-gruppe","lebenisthart","","['pro ana', 'magersucht', 'fett', 'essstörung', 'ana gruppe', 'pro Ana twin', 'abnehmen', 'zugenommen', 'ana']","<p>&#129293; suche<i> einen Pro Ana Twin oder eine Gruppe schreibt mir bitte</i> &#129293;</p>"
"2022-10-09 17:21:36 GMT","https://worte-mitohne-sinn.tumblr.com/post/697655462841155584/ich-bin-es-so-leid-meinen-k%C3%B6rper-zu-hassen-doch","worte-mitohne-sinn","","['körper', 'selbsthass', 'selbstliebe', 'ed', 'essstörung', 'eklig', 'selfhate']","<h2><b><i>Ich bin es so leid, meinen Körper zu hassen.<br>Doch lieben kann ich ihn auch nicht.</i></b></h2>"
"2022-09-20 12:14:05 GMT","https://www.tumblr.com/blog/view/felicitas14/695914773318139904","felicitas14","","['Pro Ana Gruppe', 'Pro Ana Group', 'pro ANa', 'Essstörung', 'Magersucht', 'Bulimie', 'Atypische Essstörung', 'pro Ana', 'Pro', 'Pro Ana', 'Gruppe', 'Abnehmen', 'Diät']","<p>Hey,</p><p>ich suche nach einer Pro Ana Gruppe. Ich bin 14 Jahre und ein M&auml;dchen und ich habe wahrscheinlich Magersucht und Bulimie oder eine Atypische Anorexie. Ich w&uuml;rde mich auf eine Gruppe mit Challenges freuen und wo man ehrlich ist, also wegen Fressattacken und so. Was ich nicht will ist, mich zu &uuml;bergeben oder Bilder zu posten. Aber Esspl&auml;ne, und Komplimente sind erw&uuml;nscht.</p><p>W&uuml;rde mich freuen, wenn sich auch M&auml;dchen finden lassen, die so ca. zwischen 12 und 16 oder 17 sind</p><p>Bitte meldet euch bei Interesse</p>"
"2022-09-18 11:34:22 GMT","https://maniamind.tumblr.com/post/695731080391737344/wenn-du-eine-essst%C3%B6rung-hast-und-dich-mit-anderen","maniamind","Wenn du eine Essstörung hast und dich mit anderen ES’lern connecten willst, bitte einmal ein like dalassen. <3","['Essstörung', 'Magersucht', 'Bulimie', 'anorexia']","<p>Bitte keine Pro ED Blogs!</p>"
"2022-07-31 16:07:15 GMT","https://www.tumblr.com/blog/view/andergrenze/691308996891688960","andergrenze","","['borderline personality disorder', 'borderline', 'anorexik', 'bulimie', 'essstörung', 'eating disorder', 'depression', 'komplexe ptbs', 'trauma', 'emotional instabile persönlichkeitsstörung']","<div class=""npf_row""><figure class=""tmblr-full"" data-orig-height=""2048"" data-orig-width=""1536""><img src=""https://64.media.tumblr.com/39f5483e96e71a5a35abfc5d14148c95/b6e22caedc24d582-a4/s640x960/7f4213e2bd4fafcdc1da6d82fab0baf6b9793418.jpg"" data-orig-height=""2048"" data-orig-width=""1536""></figure></div><p>Vielleicht bin ich mehr borderline als ich dachte </p><p>Traurige Erkenntnis </p><p>Ich bin das was ich nie sein wollte </p><p>Alle Therapien und Menschen sind f&uuml;r mich bestimmt, die ich eigentlich so gehasst habe </p><p>Es ist der Hass </p><p>Nicht gegen mich </p><p>Sondern diese Krankheit </p><p>Die ich habe </p>"
"2022-07-30 06:19:35 GMT","https://voller-worte.tumblr.com/post/691181427676561408/lebensspiel","voller-worte","","['behinderte Menschen', 'Essstörung', 'Familie', 'Gedanken', 'Geschwister', 'Junioren', 'Kotzen', 'Leben', 'Pflege']","<h1>Lebensspiel</h1><p><br></p><blockquote class=""npf_indented""><p>Das Leben ist kein Spiel, aber wenn Spiel nicht sein darf, ist es auch kein Leben.<br>Spielen ist leicht und schwer zugleich. Wer bestimmt? Der Kerle meinte gestern zu mir, dass es sch&ouml;n ist, das Leben. Gerade er, der sich in der letzen Woche wieder jeden Tag die Seele aus den Leib gekotzt hat. Mein T&ouml;chting rollt zu ihm hin und streichelt beseelt seinen Hals. Es ist das sch&ouml;nste Schauspiel weit und&hellip;</p></blockquote><p><a href=""https://voller-worte.de/2022/07/30/lebensspiel/"">View On WordPress</a></p>"
